127.0.0.1 - - [11/Jun/2021:16:19:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:04 +0530] "GET /restAssignment/ HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/swagger-ui.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/springfox.css?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/springfox.js?v=2.9.2 HTTP/1.1" 200 96207
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui-standalone-preset.js?v=2.9.2 HTTP/1.1" 200 440850
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui.css?v=2.9.2 HTTP/1.1" 200 154488
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui-bundle.js?v=2.9.2 HTTP/1.1" 200 1448844
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/swagger-resources/configuration/ui HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/swagger-resources/configuration/security HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/swagger-resources HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/ HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/csrf HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:17 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:18 +0530] "GET /restAssignment/v2/api-docs HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:18 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:18 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-300.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:18 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:22 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:54 +0530] "POST /restAssignment/api/books/ HTTP/1.1" 200 128010
0:0:0:0:0:0:0:1 - - [11/Jun/2021:16:19:54 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-600.woff2 HTTP/1.1" 304 -
